+,Road,Road,1.0
+,Weather,Weather,1.0
+,Place,Place,1.0
+,TMP36,http://www.semanticweb.org/ca.mendoza968/ontologies/services#POST_temperature,1.0
+,TSL2561,http://www.semanticweb.org/ca.mendoza968/ontologies/services#POST_luminosity,1.0
